sha256	strength	container	text_chars	signals	roles	evidence	path
bb6d828f8dfa729e31b0135fa81e6803ba571d60972d79e4a288f2beadac94dc	strong	text	147447	{"chatgpt_conversation_url": 0, "chatgpt_headings": 100, "role_fields": 0, "user_assistant_labels": 0}	{}	repeated You/ChatGPT headings	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/.trashed-1788540473-Branch_I___Head_Steward___Cat_Wrangler___Differenc.md.txt
7d3082ac903843a804be700ff7d0cd11c2f9b0a189c8ffe77011d3380ec136b0	strong	json	14167	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 9, "user_assistant_labels": 0}	{"assistant": 4, "user": 5}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/ADE_Workflow_Automation_Prompts.json
b7122b68899e23016d7bfc52338127bea545a76c6e39c4b0128d6da3aa5d06b3	strong	text	147432	{"chatgpt_conversation_url": 0, "chatgpt_headings": 100, "role_fields": 0, "user_assistant_labels": 0}	{}	repeated You/ChatGPT headings	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Branch I - Head Steward -  Cat Wrangler - Difference Engine.md
5464a52d4bf01645069b56c39ebef88a073ed7d1c1200ea813ee6b21975e00b7	strong	pdf	110330	{"chatgpt_conversation_url": 66, "chatgpt_headings": 0, "role_fields": 0, "user_assistant_labels": 0}	{}	embedded ChatGPT conversation URL; ChatGPT PDF export header	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Branch Management Assistance.pdf
ca1e559ab43f8e824f167dd6ae6612757da65f8b5d4941e7cb0c742d73104c11	strong	pdf	30247	{"chatgpt_conversation_url": 54, "chatgpt_headings": 0, "role_fields": 0, "user_assistant_labels": 0}	{}	embedded ChatGPT conversation URL; ChatGPT PDF export header	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Categorization of Governance Elements.pdf
e1f57e0c6f2017852a177418718bead00c6d3cd83289f3a6b719cf8006747c05	strong	text	188569	{"chatgpt_conversation_url": 0, "chatgpt_headings": 169, "role_fields": 0, "user_assistant_labels": 5}	{}	repeated user/assistant labels; repeated You/ChatGPT headings	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Construction_Kernel_Load_and_Implementation.md.txt
07f8c7ee462b266379c52675542872e1cbb0a75c71916fbd13a24d3996bf5050	strong	text	9282	{"chatgpt_conversation_url": 0, "chatgpt_headings": 51, "role_fields": 0, "user_assistant_labels": 0}	{}	repeated You/ChatGPT headings	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Construction_Research_and_Analysis.md.txt
d09d6768687cc892dff4f2ddedb45434f83897da31b0c933e9fa86fb9e0ff3b3	strong	json	29804	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 30, "user_assistant_labels": 0}	{"assistant": 10, "user": 20}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Custom_GPT_Design_Process.json
daed3c175e4c8d46fb51e9f2124c852c2813549455dfef5f519dfc6504aff52c	strong	pdf	212746	{"chatgpt_conversation_url": 129, "chatgpt_headings": 0, "role_fields": 0, "user_assistant_labels": 0}	{}	embedded ChatGPT conversation URL; ChatGPT PDF export header	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference __ Engine __ Head Steward __ Cat Wrangler.pdf
a1eade1a46e4f1af06d265c69bfd4b5c667179502326f1f97aa68e2274dc7eb0	strong	json	480290	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 158, "user_assistant_labels": 0}	{"assistant": 105, "user": 53}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine_2.json
634d2c14dba7bceb69d6f6fb5dacf9b3fcc6b263cca5428408ef4b2d5399a017	strong	text	724466	{"chatgpt_conversation_url": 0, "chatgpt_headings": 336, "role_fields": 0, "user_assistant_labels": 0}	{}	repeated You/ChatGPT headings	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_III____Integration.md(1).txt
773a4f2475c5a271bd5ccc7f1e5df1e559d204e7cd0dd53c375b4b0226a70ab2	strong	json	136258	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 162, "user_assistant_labels": 0}	{"assistant": 60, "user": 102}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Forensic_Parser_Workflow_full_chat.json
b13a2c1574432d34caacdcc9359a50ad5e9e42ab81eb01a105f1417b18e8a1dc	strong	json	149474	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 55, "user_assistant_labels": 0}	{"assistant": 27, "user": 28}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Handbook_Project_Organization.json
3046b3927cbfba704db10596a8bbd7b410528e16ad2d0216a29f377d11f875cf	strong	json	73024	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 41, "user_assistant_labels": 0}	{"assistant": 20, "user": 21}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Inference_and_Linguistic_Models.json
34026bfc2954e1d2fbc2cace6cd41f6090811135b93d78d273d43476752350dd	strong	text	5660	{"chatgpt_conversation_url": 0, "chatgpt_headings": 34, "role_fields": 0, "user_assistant_labels": 0}	{}	repeated You/ChatGPT headings	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Integration_Status_Update.md.txt
8526f7a2573eccb394e70111edc6381366c1cf513ee41da64b786b50c815ec62	strong	json	24950	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 19, "user_assistant_labels": 0}	{"assistant": 5, "user": 14}	structured user+assistant roles; repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Research_Branch_Workflow-2.json
67cff96687cded90cbdfa127e46a63885ea9412ee77e0fa1c9ecc2bb000b6cda	provisional	docx	1476	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 0, "user_assistant_labels": 0}	{}	conversation-bearing name plus substantive dialogue-like content	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Twenty conversation .docx
036e839af04cc0ebbaaaed19551f768e29f23fcc75ab95ebbd85400868e88bda	provisional	text	710015	{"chatgpt_conversation_url": 0, "chatgpt_headings": 0, "role_fields": 9, "user_assistant_labels": 0}	{}	repeated serialized role fields	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/anarchogre-ade-working-repository--8a5edab282632443.txt
