group_id	evidence_class	candidate_destination	review_state	rationale	occurrences	source_contents	terms	locations	text
HILF-001	SCOPE_TERM	Human Interface	RETAIN	Repeated Branch V/kernel vocabulary declaration.	3	3	dialect	./BOOTSTRAP/Branches/BST-B5-HUI_Human_Interface_v0.1.0.md:213 | ./BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md:389 | ./evidence/Branch V - Human Interface - Computational Bedrock.md:1012	- dialect;
HILF-002	STRUCTURAL_LABEL	Governance; Research	RETAIN_OUTSIDE_HI_CORE	Heading or organizational label, not a populated language model.	2	2	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:1846 | ./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:20943	# Foundational Maxim
HILF-003	TECHNICAL_FALSE_POSITIVE	Exclude	EXCLUDE	SQL dialect is unrelated to human linguistic adaptation.	2	2	dialect	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt:24450 | ./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt:24450	Different SQL dialects.
HILF-004	STRUCTURAL_LABEL	Governance	RETAIN_OUTSIDE_HI_CORE	Repeated label without substantive content in the matched line.	2	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:19946 | ./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:20476	Foundational Maxim
HILF-005	MAXIM_CANDIDATE	Governance	CONTEXT_REQUIRED	Underlying maxim is not contained in the matched sentence.	2	2	maxim	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt:11359 | ./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt:11359	I think that's the maxim that sits beneath everything else.
HILF-006	RELATIONAL_CLAIM	Governance; Operations	CONTEXT_REQUIRED	Claims aphorisms are connected but does not identify them.	2	2	aphorism	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt:23460 | ./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt:23460	They aren't independent aphorisms.
HILF-007	RELATIONAL_CLAIM	Governance; Operations	CONTEXT_REQUIRED	Claims aphorisms are connected but does not identify them.	2	2	aphorism	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt:11754 | ./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt:11754	Those are not separate aphorisms.
HILF-008	ARCHITECTURAL_TEMPLATE_CANDIDATE	Governance; Research	RETAIN_OUTSIDE_HI_CORE	Proposes a reusable constitutional organization pattern.	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:1862	- **Constitution → Articles → Standing Principles → Maxim** is a clean organizational pattern that could become a reusable constitutional template.
HILF-009	SCOPE_TERM	Human Interface	RETAIN	Explicit colloquialism scope declaration.	1	1	colloquialism	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:3048	- colloquialisms
HILF-010	STRUCTURAL_LABEL	Governance; Research	RETAIN_OUTSIDE_HI_CORE	Label only.	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:2416	- Foundational Maxim
