group_id	occurrences	source_contents	terms	text
HILF-001	3	3	dialect	- dialect;
HILF-002	2	2	maxim	# Foundational Maxim
HILF-003	2	2	dialect	Different SQL dialects.
HILF-004	2	1	maxim	Foundational Maxim
HILF-005	2	2	maxim	I think that's the maxim that sits beneath everything else.
HILF-006	2	2	aphorism	They aren't independent aphorisms.
HILF-007	2	2	aphorism	Those are not separate aphorisms.
HILF-008	1	1	maxim	- **Constitution → Articles → Standing Principles → Maxim** is a clean organizational pattern that could become a reusable constitutional template.
HILF-009	1	1	colloquialism	- colloquialisms
HILF-010	1	1	maxim	- Foundational Maxim
HILF-011	1	1	dialect	- regional dialects when appropriate
HILF-012	1	1	regional_language	- regional language;
HILF-013	1	1	maxim	And if I may be permitted one tiny constitutional flourish—because you've gotten me thinking in constitutions now—I would add a single maxim beneath the Foundational Maxim:
HILF-014	1	1	maxim	conversational maxims
HILF-015	1	1	dialect	dialect
HILF-016	1	1	parable	"Eventually we settled on incorporating the com-b and fogg behavioral models, assessments (obviously not clinical and wouldn't claim it) for ADHD, autism, mood disorders, other behavioral disorders, Meyers Briggs, the ""big 5"" behavioral models, cognitive tests, and even whatever narcissistic, empathetic, and all the stuff in between constitute in our era of willful ignorance. I don't mean that in a bad way, but some folks put a lot of weight on that stuff. Enough to lock them in judgement that's hard to overcome -- shits almost like astrology and horoscopes now. Other stuff in my head. You'll see some narrative files.. those are telling a story (type, genre - mutable) of the journey that started out for Rowan, but grew so large in scope it's now for everyone. Each story, depending on age, could tell someone else's story. We also worked in common phrases, axioms, inferences, other linguistic models, parables, fables..dealing in what's not said more than said. Also analog activities for 1-(n) people consisting of mindfulness, focus, and eventually, hopefully, enough methods of self regulation from a VERY tailored process resulting from the engine. Custom schedules, nutrition plan. You name it. I did see a gpt that generates coloring books. I'd fuckin LOVE THAT. Also, depending on the recipient, the tone and vocabulary of the output or publication changes. Clinicians reports are for clinicians. Teachers for the classroom, maybe with an observation and intervention attempts and results. Never condescending, but not cheesy or rife with toxic positivity. That's not honest and I won't have the machine facilitate heads in sand. Don't have to be mean. Just gentle, painfully honest, and understanding. I'm sure there's more I'm forgetting. Teacher panel, mom panel, etc. I needed to get all that back in the mix."
HILF-017	1	1	aphorism	I think ADE should eventually have its own design aphorisms. Short, memorable statements that capture its philosophy. We've already coined several almost by accident:
HILF-018	1	1	regional_language,vernacular	"Learns operators. Likes dislikes, hates, loves, ambivalent.. regional data, weather, news, scraped neighborhood type apps if possible. Speaks to you, hopefully so smoothly you don't notice, in regional vernacular. Boston. Pane already knows what, ""kid, jawn"", other stuff means. Would never use it until much later; after trust. After rapport. Different languages. Field Research/Investigation: Scan the room - video starts, flashlight, known databases of investigative methods - plus operator knowledge."
HILF-019	1	1	colloquialism	None of the things you presume to be metaphors, colloquialisms, or passing sayings are that. They're operational.
HILF-020	1	1	aphorism	One of my favorite engineering aphorisms is:
HILF-021	1	1	parable	parables
HILF-022	1	1	colloquialism,dialect	Rapport with epistemic responsibility. Modern conventions, colloquialisms, dialects (danger zone, but can still be used spatanly enough to establish trust and rapport under constitutional laws), real world, class conscious, understanding of any provided information like fiduciary or transportation limitations. Stuff like that. Responsible for writing the final version of anything related to the information transfer from machine to people. The actual written or spoken interface.. one day. Documentation meant for people layed out concisely but approachable. And I think engaging and interesting enough to want to know the story. And by knowing the story.. one might accidentally learn some things longitudinally.
HILF-023	1	1	aphorism	Those aren't isolated aphorisms. They're structurally connected.
HILF-024	1	1	aphorism	Those aren't just nice sayings. They're decision shortcuts. When you're unsure about a change, a good aphorism often answers the question faster than rereading a policy.
HILF-025	1	1	colloquial	• colloquial language
HILF-026	1	1	dialect,regional_language	• regional dialect
