group_id	terms	line	copies	sha256	representative	text
HILF-001	dialect	213	1	4d2a06e6ee96e44ce1be5aa5948eaf0c8cdcc89f5529b8b5145f56add970b949	./BOOTSTRAP/Branches/BST-B5-HUI_Human_Interface_v0.1.0.md	- dialect;
HILF-001	dialect	389	2	1e30ef899f1e3d3de26d78db3668ad2459e3e9c87babd8037d4da8b12b40675d	./BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md	- dialect;
HILF-001	dialect	1012	1	6ac085605670b4c132448947521cabe179642f973ce39f8013768170665f027f	./evidence/Branch V - Human Interface - Computational Bedrock.md	- dialect;
HILF-002	maxim	1846	1	734a6d8fde65b6c40eb9fe58a439f0f977babea6a950720c7016782cf2643b81	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt	# Foundational Maxim
HILF-002	maxim	20943	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	# Foundational Maxim
HILF-003	dialect	24450	1	c3897397c4b8b9e1653ad977ad0249da1334595a5223913e7140e5191371ae10	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt	Different SQL dialects.
HILF-003	dialect	24450	1	a053bdf9d1710ff9973c940058990e1383806a68a0a0f6ddfe2aa8a9c5b5a566	./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt	Different SQL dialects.
HILF-004	maxim	19946	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	Foundational Maxim
HILF-004	maxim	20476	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	Foundational Maxim
HILF-005	maxim	11359	1	5b0e93774638f5f0ade186de3769c6bf9fd440971965b101fe45b42b0eb80e83	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt	I think that's the maxim that sits beneath everything else.
HILF-005	maxim	11359	1	f0d08cbc34270a52c9502851ce02873832ee40f151cc91b4d6babcfe8200dfd0	./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt	I think that's the maxim that sits beneath everything else.
HILF-006	aphorism	23460	1	c3897397c4b8b9e1653ad977ad0249da1334595a5223913e7140e5191371ae10	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt	They aren't independent aphorisms.
HILF-006	aphorism	23460	1	a053bdf9d1710ff9973c940058990e1383806a68a0a0f6ddfe2aa8a9c5b5a566	./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt	They aren't independent aphorisms.
HILF-007	aphorism	11754	1	5b0e93774638f5f0ade186de3769c6bf9fd440971965b101fe45b42b0eb80e83	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt	Those are not separate aphorisms.
