path	total_lines	crlf_lines	non_crlf	worktree_equals_head	base_exists	commits_since_base
evidence/HUMAN_INTERFACE_LANGUAGE_FORMS_CENSUS.txt	4022	18	4004	YES	NO	1
evidence/HUMAN_INTERFACE_LANGUAGE_FORMS_CONTEXT_REQUIRED_EVIDENCE.md	437	0	437	YES	NO	1
evidence/HUMAN_INTERFACE_LANGUAGE_FORMS_DIRECT_EVIDENCE.md	3374	0	3374	YES	NO	1
evidence/HUMAN_INTERFACE_LANGUAGE_FORMS_HIGH_SIGNAL_EVIDENCE.md	409	0	409	YES	NO	1
evidence/MOBILE_VOCABULARY_BRANCH_V_RELEVANCE.txt	525	456	69	YES	NO	1
evidence/MOBILE_VOCABULARY_LIBRARY_PLACEMENT_REVIEW.txt	278	0	278	YES	NO	1
evidence/MOBILE_VOCABULARY_PRESERVATION_CONVENTION_REVIEW.txt	452	25	427	YES	NO	1
evidence/MOBILE_VOCABULARY_SCHEMA_DECISION_EXTRACT.md	1707	0	1707	YES	NO	1
evidence/MOBILE_VOCABULARY_SCHEMA_TARGETED_SECTIONS.md	237	0	237	YES	NO	1
evidence/STEWARD_CORE_SYNC_DECISION_LINES.tsv	83	70	13	YES	NO	1
evidence/STEWARD_CORE_SYNC_DECISION_TOPIC_INDEX.tsv	68	68	0	YES	NO	1
evidence/STEWARD_CORE_SYNC_LIVE_EVIDENCE_CLASSIFICATION.tsv	16	16	0	YES	NO	1
evidence/STEWARD_CORE_SYNC_SUBSTANTIVE_DECISIONS.tsv	16	16	0	YES	NO	1
evidence/STEWARD_CORE_SYNC_UNCATEGORIZED_REVIEW.tsv	35	35	0	YES	NO	1
evidence/STEWARD_CORE_SYNC_UNIQUE_DECISIONS.tsv	59	59	0	YES	NO	1
