pdf	chat_id	best_json	pdf_coverage_by_json_pct	best_verified24	pdf_coverage_by_verified24_pct
ADE Workflow Automation Prompts.pdf	6a64c968-a09c-83ea-bb2a-cf52be1e5f26	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
AOS Repository.pdf	6a5e82d8-d95c-83ea-95a0-cf2e9478dbe7	Forensic_Parser_Workflow_reverse_parse_901pm_7_23_26.json	0.10	Constitutional_Kernel_Initialization.md.txt	0.06
Bootstrap Preparation Checklist.pdf	6a62dd8b-6a30-83ea-b3bf-385fea194b14	Inference_and_Linguistic_Models.json	0.04	Difference_Engine____Branch_0____Origins.txt	0.02
Forensic Parser Workflow.pdf	6a60eabf-0cc0-83ea-81da-291e887bf3bf	Forensic_Parser_Workflow_reverse_parse_901pm_7_23_26.json	0.38	Workflow_and_Evidence_Consolidation.md.txt	0.00
Free ChatGPT Plugins for ADE.pdf	6a64507b-5de4-83ea-8794-5a5578cbc497	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
GitHub Access Limitations.pdf	6a63df62-ea3c-83ea-b933-f991dea37687	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
GitHub PR Inspection.pdf	6a642757-94f4-83ea-9bfb-62d178690f51	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
Inference and Linguistic Models.pdf	6a63c42f-0948-83ea-a343-a4e251456bbe	Inference_and_Linguistic_Models.json	69.00	Epistemic_Engine_Development.md	0.49
Moving files in GitHub.pdf	6a647a8e-5558-83ea-a723-a2ae78eefa95	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
OAuth Error Investigation.pdf	6a640adb-3070-83ea-8bc2-f60034dc48bf	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
Project Organization Strategy.pdf	6a5e609a-a434-83ea-bdd1-75d163f5a9ab	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
Repo Not Found.pdf	6a64282b-0498-83ea-aece-33604118a4ee	Inference_and_Linguistic_Models.json	0.00	Workflow_and_Evidence_Consolidation.md.txt	0.00
