group_id	occurrences	source_contents	terms	locations	text
HILF-001	3	3	dialect	./BOOTSTRAP/Branches/BST-B5-HUI_Human_Interface_v0.1.0.md:213 | ./BOOTSTRAP/KRN-0001_Common_Constitutional_Kernel_v0.1.0.md:389 | ./evidence/Branch V - Human Interface - Computational Bedrock.md:1012	- dialect;
HILF-002	2	2	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:1846 | ./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:20943	# Foundational Maxim
HILF-003	2	2	dialect	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt:24450 | ./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt:24450	Different SQL dialects.
HILF-004	2	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:19946 | ./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:20476	Foundational Maxim
HILF-005	2	2	maxim	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt:11359 | ./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt:11359	I think that's the maxim that sits beneath everything else.
HILF-006	2	2	aphorism	./workspace/operational/ingestion/output/ING-20260804-0100/source/GPT_Plus_Integration_Roadmap.md.txt:23460 | ./workspace/operational/ingestion/output/ING-20260804-0101/source/GPT_Plus_Integration_Roadmap.md(1).txt:23460	They aren't independent aphorisms.
HILF-007	2	2	aphorism	./workspace/operational/ingestion/output/ING-20260804-0097/source/Governance_Improvements_Implementation.md.txt:11754 | ./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt:11754	Those are not separate aphorisms.
HILF-008	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:1862	- **Constitution → Articles → Standing Principles → Maxim** is a clean organizational pattern that could become a reusable constitutional template.
HILF-009	1	1	colloquialism	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:3048	- colloquialisms
HILF-010	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt:2416	- Foundational Maxim
HILF-011	1	1	dialect	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:3047	- regional dialects when appropriate
HILF-012	1	1	regional_language	./workspace/operational/ingestion/output/ING-20260804-0095/source/Constitutional_Kernel_Load.md.txt:2793	- regional language;
HILF-013	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:21089	And if I may be permitted one tiny constitutional flourish—because you've gotten me thinking in constitutions now—I would add a single maxim beneath the Foundational Maxim:
HILF-014	1	1	maxim	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:9963	conversational maxims
HILF-015	1	1	dialect	./workspace/operational/ingestion/output/ING-20260804-0081/source/Bootstrap_BABBAGE_Initialization.md.txt:247	dialect
HILF-016	1	1	parable	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:9866	"Eventually we settled on incorporating the com-b and fogg behavioral models, assessments (obviously not clinical and wouldn't claim it) for ADHD, autism, mood disorders, other behavioral disorders, Meyers Briggs, the ""big 5"" behavioral models, cognitive tests, and even whatever narcissistic, empathetic, and all the stuff in between constitute in our era of willful ignorance. I don't mean that in a bad way, but some folks put a lot of weight on that stuff. Enough to lock them in judgement that's hard to overcome -- shits almost like astrology and horoscopes now. Other stuff in my head. You'll see some narrative files.. those are telling a story (type, genre - mutable) of the journey that started out for Rowan, but grew so large in scope it's now for everyone. Each story, depending on age, could tell someone else's story. We also worked in common phrases, axioms, inferences, other linguistic models, parables, fables..dealing in what's not said more than said. Also analog activities for 1-(n) people consisting of mindfulness, focus, and eventually, hopefully, enough methods of self regulation from a VERY tailored process resulting from the engine. Custom schedules, nutrition plan. You name it. I did see a gpt that generates coloring books. I'd fuckin LOVE THAT. Also, depending on the recipient, the tone and vocabulary of the output or publication changes. Clinicians reports are for clinicians. Teachers for the classroom, maybe with an observation and intervention attempts and results. Never condescending, but not cheesy or rife with toxic positivity. That's not honest and I won't have the machine facilitate heads in sand. Don't have to be mean. Just gentle, painfully honest, and understanding. I'm sure there's more I'm forgetting. Teacher panel, mom panel, etc. I needed to get all that back in the mix."
